"id_loja","nm_fantasia","nm_nome_loja","fl_produtos_especiais","nm_inscricao_estadual","tx_website","quantidade_skus","op_type","dt_process_stage","partition_ano_mes"
1234,TREMME,TREMME,"0","0046121040068",https://www.tremme.com.br,1,I,2023-11-27 00:01:03.000,"197001"
494,Smart Lions,Smart Lions,"0","131.007.425.116",,300,I,2023-11-27 00:01:03.000,"197001"
697,Marilia Lopes,Marilia Lopes,"0","401.336.060.117",,70,I,2023-11-27 00:01:03.000,"197001"
37,Biotech Shop,Biotech Shop,"0","12592604",,100,I,2023-11-27 00:01:03.000,"197001"
164,Unika Store,Unika Store,"0","26.199.3631",,1000,I,2023-11-27 00:01:03.000,"197001"
547,Proaenf Hospitalar,Proaenf Hospitalar,"0","083538356",,300,I,2023-11-27 00:01:03.000,"197001"
839,Boss Nutrition,Boss Nutrition Suplementos,"0","0963464698",https://bossnutrition.com.br,200,I,2023-11-27 00:01:03.000,"197001"
950,Beleza Express,Beleza Express,"0","136.626.531.114",www.belezaxpress.com.br,30,I,2023-11-27 00:01:03.000,"197001"
1400,ApisBrasil,ApisBrasil,"1","528118180113",www.apisbrasil.com.br,27,I,2023-11-27 00:01:03.000,"197001"
1115,Miligrama,Miligrama,"1","9034019662",https://www.fmiligrama.com.br,12,I,2023-11-27 00:01:03.000,"197001"
1272,Kuanta Vita,Kuanta Vita Beauty,"0","442515847119",https://www.kuantavita.com.br,7,I,2023-11-27 00:01:03.000,"197001"
498,BELLA MANU,BELLA  MANU COSMÉTICOS,"0","799198588110",,105,I,2023-11-27 00:01:03.000,"197001"
1198,Updesc Comércio e Importação Ltda,Aroom,"0","121.352.184.110",,179,I,2023-11-27 00:01:03.000,"197001"
1265,BRI,BRI Distribuidora Estética,"0","9102513255",,2,I,2023-11-27 00:01:03.000,"197001"
1384,NATURAIS WEB,GO! NUTRY,"0","130.336.382.118",,200,I,2023-11-27 00:01:03.000,"197001"
449,NUANCE,NUANCE,"0","9097334720",,50,I,2023-11-27 00:01:03.000,"197001"
191,CURLY BEAUTY,CURLY BEAUTY,"0","206.798.770.119",www.curlybeauty.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
1429,JF SERVICOS,jfservicos,"0","495.299.299.111",,20,I,2023-11-27 00:01:03.000,"197001"
700,Terra Vida Natural,Terra Vida Natural,"1","131596397110",https://terravidanatural.com.br,50,I,2023-11-27 00:01:03.000,"197001"
958,THALITA,CUIDAR LITA,"0","01887921206",,50,I,2023-11-27 00:01:03.000,"197001"
1059,Nena Gugél Biocosméticos,Nena Gugél Biocosméticos,"1","4270033710",www.nenagugel.com.br,7,I,2023-11-27 00:01:03.000,"197001"
1351,Sal da Terra Biocosméticos,Sal da Terra Biocosméticos,"1","1090400516",www.saldaterrabio.com.br,10,I,2023-11-27 00:01:03.000,"197001"
1452,NOVA FORMULA FARMACIA DE MANIPULAÇÃO,NOVAFORMULAFCIA,"1","267059417110",https://www.novaformulafarmacia.com.br,300,I,2023-11-27 00:01:03.000,"197001"
1456,Ferronato Consultoria,Ferronato,"0","00000000000000000",,8,I,2023-11-27 00:01:03.000,"197001"
1044,Doyth,Doyth Cosmeticos do Brasil,"1","219.127.258.114",,5,I,2023-11-27 00:01:03.000,"197001"
1220,Apex Labs,GRUPO WEPARTNER,"0","46776650080",,10,I,2023-11-27 00:01:03.000,"197001"
